Restaurant,Item,Price
Dosa World South & North Indian Vegetarian Restaurant,Soda,$1.75
Dosa World South & North Indian Vegetarian Restaurant,Masala Tea,$2.55
Dosa World South & North Indian Vegetarian Restaurant,Coffee,$3.00
Dosa World South & North Indian Vegetarian Restaurant,Mango Juice,$5.00
Dosa World South & North Indian Vegetarian Restaurant,Mango Lassi,$5.00
Dosa World South & North Indian Vegetarian Restaurant,Mango Milkshake,$5.00
Dosa World South & North Indian Vegetarian Restaurant,Chaas,$5.00
Dosa World South & North Indian Vegetarian Restaurant,Assorted Appetizers,$11.99
Dosa World South & North Indian Vegetarian Restaurant,Papadam,$2.49
Dosa World South & North Indian Vegetarian Restaurant,Masala Spiced Cashew Nuts,$6.99
Dosa World South & North Indian Vegetarian Restaurant,Behl Puri,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Pakora,$6.99
Dosa World South & North Indian Vegetarian Restaurant,Gobi Manchurian,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Manchurian,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Alu Tikki,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Idli,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Mini Idli,$6.99
Dosa World South & North Indian Vegetarian Restaurant,Ghee Fried Idli,$6.99
Dosa World South & North Indian Vegetarian Restaurant,Idli Vada,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Medu Vada,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Dahi Vada,$6.99
Dosa World South & North Indian Vegetarian Restaurant,Batata Vada,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Pakora,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Bajjia,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Bonda,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Alu Chaat,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Chana Chaat,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Samosa,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Samosa Chaat,$7.99
Dosa World South & North Indian Vegetarian Restaurant,Papri Chaat,$6.99
Dosa World South & North Indian Vegetarian Restaurant,Rasam,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Tomato Soup,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Mulligatawny Soup,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Spinach Soup,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Vegetable Soup,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Garden Salad,$4.75
Dosa World South & North Indian Vegetarian Restaurant,Katchumber Salad,$4.75
Dosa World South & North Indian Vegetarian Restaurant,Alu Palak,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Alu Matar,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Alu Gobi,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Alu Chana,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Alu Baigan,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Baigan Bartha,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Chana Saag,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Chana Masala,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Gobi Masala,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Bhindi Masala,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Malai Kofta,$13.99
Dosa World South & North Indian Vegetarian Restaurant,Navratan Kurma,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Khadai Paneer Masala,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Booji,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Matar Paneer,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Palak Paneer,$13.99
Dosa World South & North Indian Vegetarian Restaurant,Kala Chana,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Undhiyu,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Whole Moong,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Yellow Dal,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Sukhi Bhaji,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Kadi Pakora,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Dal Palak,$11.99
Dosa World South & North Indian Vegetarian Restaurant,Chole Batura,$14.99
Dosa World South & North Indian Vegetarian Restaurant,Thopp Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Sada Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Masala Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Ghee Sada Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Ghee Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Paper Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Paper Masala Dosa,$11.99
Dosa World South & North Indian Vegetarian Restaurant,Chocolate Dosa,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Onion Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Gunpowder Masala Dosa,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Spinach Masala Dosa,$11.99
Dosa World South & North Indian Vegetarian Restaurant,Gobi Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Mushroom Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Chilli Cheese Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Mysore Sada,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Mysore Masala,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Spring Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Jai Pur Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Pondicherry Masala Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Booji Masala Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Cheese Pondicherry Masala dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Cheese Mysore Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Vegetable Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Special Dosa World Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Kathrika Kuzhambua,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Kara Kuzhambu,$13.99
Dosa World South & North Indian Vegetarian Restaurant,Vendaikai Kuzhambu,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Avial,$13.99
Dosa World South & North Indian Vegetarian Restaurant,Pongal,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Bisibilabath,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Fried Rice,$8.99
Dosa World South & North Indian Vegetarian Restaurant,lLEMON RICE,$8.99
Dosa World South & North Indian Vegetarian Restaurant,North Indian Thali,$17.99
Dosa World South & North Indian Vegetarian Restaurant,Gujarati Thali,$17.99
Dosa World South & North Indian Vegetarian Restaurant,Dosa World Thali,$17.99
Dosa World South & North Indian Vegetarian Restaurant,South Indian Thali,$17.99
Dosa World South & North Indian Vegetarian Restaurant,Plain Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Coconut Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Mushroom Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Pea and Onion Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Gunpowder Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Onion and Hot Pepper Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Mixed Vegetable Uttapam,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Mixed Vegetable Cheese Uttapam,$11.99
Dosa World South & North Indian Vegetarian Restaurant,Chilli Tomato and Garlic Uttapam,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Chilli Cheese Uttapam,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Pizza Uttappam,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Ghee,$0.50
Dosa World South & North Indian Vegetarian Restaurant,Chutney,$1.00
Dosa World South & North Indian Vegetarian Restaurant,Yogurt,$1.75
Dosa World South & North Indian Vegetarian Restaurant,Raita,$1.75
Dosa World South & North Indian Vegetarian Restaurant,Rice,$1.75
Dosa World South & North Indian Vegetarian Restaurant,Sambar,$1.75
Dosa World South & North Indian Vegetarian Restaurant,Achar,$1.00
Dosa World South & North Indian Vegetarian Restaurant,Dosa Poda,$1.00
Dosa World South & North Indian Vegetarian Restaurant,Rava Dosa,$9.99
Dosa World South & North Indian Vegetarian Restaurant,Rava Masala Dosa,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Onion Rava Dosa,$11.99
Dosa World South & North Indian Vegetarian Restaurant,Onion Rava Masala Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Mysore Rava Masala Dosa,$13.99
Dosa World South & North Indian Vegetarian Restaurant,Rava Masala Dosa with Chilli and Gunpowder,$13.99
Dosa World South & North Indian Vegetarian Restaurant,Paneer Rava Masala Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Coconut Rava Masala Dosa,$12.99
Dosa World South & North Indian Vegetarian Restaurant,Dosa World Rava,$14.99
Dosa World South & North Indian Vegetarian Restaurant,Chapati,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Pulka,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Paratha,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Stuffed Paratha,$8.99
Dosa World South & North Indian Vegetarian Restaurant,Poori,$7.99
Dosa World South & North Indian Vegetarian Restaurant,Poori and Masala,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Poori,$10.99
Dosa World South & North Indian Vegetarian Restaurant,Gulab Jamun,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Rasmalai,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Gajar Halwa,$4.99
Dosa World South & North Indian Vegetarian Restaurant,Badam Halwa,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Halwa A La Mode,$5.99
Dosa World South & North Indian Vegetarian Restaurant,Payasam,$4.99
